City ID,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
2643490,Lowestoft,52.48,1.75,63.0,96,82,1.01
3354876,Okakarara,-20.58,17.43,48.85,47,0,10.74
4032243,Vaini,-21.2,-175.2,77.0,78,20,6.93
1015776,Bredasdorp,-34.53,20.04,50.0,93,0,2.24
2189343,Kaeo,-35.1,173.78,60.01,3,100,8.01
2173911,Broken Hill,-31.95,141.43,41.0,65,0,6.93
4488232,Roanoke Rapids,36.46,-77.65,91.15,46,1,11.41
58933,Garoowe,8.41,48.48,81.61,47,86,21.52
3443061,Chui,-33.7,-53.46,52.93,80,74,5.41
7671223,Kloulklubed,7.04,134.26,75.2,94,75,5.82
5924351,Clyde River,70.47,-68.59,64.4,55,75,12.75
6089245,Norman Wells,65.28,-126.83,62.6,82,90,10.29
3874787,Punta Arenas,-53.15,-70.92,32.86,74,75,5.82
4030556,Rikitea,-23.12,-134.97,73.47,83,100,4.14
1045114,Inhambane,-23.86,35.38,63.21,76,0,11.14
3419842,Sisimiut,66.94,-53.67,49.78,73,36,5.68
2094342,Kavieng,-2.57,150.8,81.95,70,85,1.97
3430863,Mar del Plata,-38.0,-57.56,55.81,50,0,9.17
3831208,Qaanaaq,77.48,-69.36,44.35,77,81,5.97
3374210,São Filipe,14.9,-24.5,76.39,79,26,10.69
5106841,Albany,42.6,-73.97,77.02,57,97,9.26
1786855,Yatou,37.15,122.38,67.06,93,0,5.3
1529484,Kumul,42.8,93.45,76.95,31,32,4.52
3366880,Hermanus,-34.42,19.23,53.01,74,0,3.0
1631637,Pemangkat,1.17,108.97,77.95,86,100,2.75
5367788,Lompoc,34.64,-120.46,70.11,60,11,5.82
3361934,Saldanha,-33.01,17.94,51.8,66,0,9.78
2108857,Gizo Government Station,-8.1,156.84,81.97,78,87,16.06
2077895,Alice Springs,-23.7,133.88,33.8,64,0,5.82
3833367,Ushuaia,-54.8,-68.3,32.0,89,0,3.36
3418910,Upernavik,72.79,-56.15,45.3,80,20,6.6
2990793,Nemours,48.28,2.69,66.07,82,90,2.24
1714733,Dingle,11.0,122.67,76.51,88,18,2.26
6170031,Tuktoyaktuk,69.45,-133.04,53.6,62,75,12.75
2163355,Hobart,-42.88,147.33,36.23,93,40,1.12
2065594,Mount Isa,-20.73,139.5,53.6,32,0,5.82
2014407,Ulan-Ude,51.83,107.61,53.6,71,40,6.71
2015306,Tiksi,71.69,128.87,36.48,88,12,19.8
5919850,Chapais,49.78,-74.85,64.4,93,90,10.29
610864,Khani,41.96,42.96,75.2,88,90,2.24
5866583,Saint Paul Harbor,57.79,-152.41,57.2,76,90,4.7
932035,Teyateyaneng,-29.15,27.75,37.44,59,0,1.1
2156643,Mount Gambier,-37.83,140.77,33.8,96,10,5.82
2618795,Klaksvík,62.23,-6.59,51.8,93,0,16.11
3894406,Coihueco,-36.62,-71.83,53.38,87,90,12.75
303750,Tall Kayf,37.08,41.07,85.66,15,0,6.87
1255551,Suket,24.65,76.03,85.35,71,16,5.28
2312888,Mbanza-Ngungu,-5.25,14.87,74.1,59,2,3.76
5044290,Saint Anthony,45.02,-93.22,81.63,37,1,11.41
287832,Ibrā’,22.69,58.53,88.0,44,39,2.77
2742416,Barcelos,41.54,-8.62,88.29,35,8,8.05
1512101,Agirish,61.92,63.02,65.21,96,79,3.4
1106677,Bambous Virieux,-20.34,57.76,68.49,77,40,8.05
2120612,Tigil',57.8,158.67,54.93,91,95,6.42
899825,Petauke,-14.24,31.33,51.03,66,0,8.46
305742,Kulu,39.1,33.08,77.45,38,0,10.78
5983720,Iqaluit,63.75,-68.51,53.29,54,75,8.05
2112802,Hasaki,35.73,140.83,64.24,93,75,6.93
6137462,Saint-Augustin,51.23,-58.65,70.65,44,43,17.13
3576994,Cockburn Town,21.46,-71.14,87.8,58,40,14.99
2075265,Busselton,-33.65,115.33,49.01,88,56,10.04
2158767,Mareeba,-17.0,145.43,48.97,74,2,2.08
5855927,Hilo,19.73,-155.09,78.21,65,1,5.82
2027296,Aykhal,66.0,111.5,51.8,76,0,4.47
1804162,Lengshuitan,26.41,111.6,79.66,79,100,5.91
3468020,Camapuã,-19.53,-54.04,88.52,24,52,7.23
4470244,Havelock,34.88,-76.9,83.28,66,94,8.01
3421719,Narsaq,60.92,-46.05,64.4,36,20,8.05
3006414,La Seyne-sur-Mer,43.1,5.88,74.43,63,78,7.0
964432,Port Alfred,-33.59,26.89,57.36,50,3,6.53
1517323,Zhanakorgan,43.91,67.25,87.24,22,0,13.49
3369157,Cape Town,-33.93,18.42,48.11,87,0,3.36
932960,Werda,-25.27,23.28,47.19,45,0,7.05
136702,Dehlorān,32.69,47.27,97.48,12,0,7.78
110690,Faya,18.39,42.45,70.7,49,25,12.75
2071860,Esperance,-33.87,121.9,57.2,100,90,11.41
2206939,Bluff,-46.6,168.33,37.98,88,25,10.45
2171099,Codrington,-38.27,141.97,38.57,92,1,7.78
6185377,Yellowknife,62.46,-114.35,64.96,48,75,5.82
2155415,New Norfolk,-42.78,147.06,35.96,89,8,2.37
3134327,Tonstad,58.66,6.72,57.29,85,99,2.84
2012956,Yerbogachën,61.28,108.01,47.23,90,0,5.93
2038665,Alihe,50.57,123.72,62.71,92,99,0.74
3652764,Puerto Ayora,-0.74,-90.35,73.2,69,20,18.34
2128558,Otofuke,42.99,143.2,57.15,91,97,0.89
2123814,Leningradskiy,69.38,178.42,42.21,90,99,10.56
1819729,Hong Kong,22.29,114.16,81.81,88,100,15.01
3466704,Castro,-24.79,-50.01,61.79,73,90,3.2
3386213,Touros,-5.2,-35.46,77.0,83,75,5.82
964420,Port Elizabeth,-33.92,25.57,41.0,93,27,4.7
5836898,Rock Springs,41.59,-109.2,86.0,10,1,17.22
2017155,Saskylakh,71.92,114.08,46.9,60,100,19.98
2126359,Bykov,47.32,142.55,59.0,93,90,2.24
2121385,Severo-Kuril'sk,50.68,156.12,51.53,91,81,4.0
1507390,Dikson,73.51,80.55,40.71,94,100,3.53
3437088,Curuguaty,-24.47,-55.69,74.66,64,100,3.87
1263752,Māngrol,21.12,70.12,82.4,80,75,3.56
4031574,Provideniya,64.38,-173.3,48.2,81,90,4.47
1492566,Severo-Yeniseyskiy,60.37,93.04,46.76,98,63,9.28
3471451,Arraial do Cabo,-22.97,-42.03,69.8,64,75,6.93
5955902,Fort Nelson,58.81,-122.7,62.6,77,75,2.24
5847486,Kailua,21.4,-157.74,81.21,65,90,8.05
5848280,Kapaa,22.08,-159.32,81.63,74,40,12.75
5880054,Barrow,71.29,-156.79,35.6,80,90,12.75
3423146,Ilulissat,69.22,-51.1,48.2,70,75,5.82
6167817,Torbay,47.67,-52.73,48.45,100,90,19.46
3382160,Cayenne,4.93,-52.33,86.0,70,100,3.36
1855540,Naze,28.37,129.48,78.8,94,75,12.75
6201424,Mataura,-46.19,168.86,28.98,98,21,2.06
2653305,Chatham,51.38,0.53,67.66,65,95,1.01
2514651,Los Llanos de Aridane,28.66,-17.92,71.24,78,20,11.41
1489209,Troitskoye,52.98,84.68,60.94,79,0,4.9
4173838,Spring Hill,28.48,-82.53,92.41,52,20,5.82
1624041,Ternate,0.8,127.4,79.66,77,0,4.14
2070998,Geraldton,-28.77,114.6,57.2,87,90,20.8
2921355,Gengenbach,48.4,8.02,60.58,93,90,2.24
2015701,Taksimo,56.34,114.88,56.91,77,100,3.56
1006984,East London,-33.02,27.91,58.68,42,0,5.39
935215,Saint-Philippe,-21.36,55.77,60.13,72,11,6.93
2654970,Brae,60.4,-1.35,55.4,100,100,14.99
3577430,Road Town,18.42,-64.62,86.61,66,20,8.05
1489822,Tegul'det,57.31,88.17,55.85,92,82,6.15
3412093,Vestmannaeyjar,63.44,-20.27,51.87,90,100,17.74
2097418,Finschhafen,-6.6,147.87,78.94,77,2,9.93
3349580,Chissamba,-12.17,17.33,56.89,36,0,6.44
520552,Nizhniy Odes,63.64,54.86,56.52,96,100,4.36
3372707,Ribeira Grande,38.52,-28.7,73.4,64,75,11.41
2126199,Cherskiy,68.75,161.3,50.09,58,0,3.38
5654391,Glendive,47.11,-104.71,86.5,25,1,3.36
2264557,Ponta do Sol,32.67,-17.1,70.88,69,1,4.7
359783,Assiut,27.18,31.18,86.0,37,0,12.75
1488708,Ubinskoye,55.31,79.68,68.04,94,0,6.42
6121621,Revelstoke,50.98,-118.2,64.4,77,75,4.7
3387786,Serra Talhada,-7.99,-38.3,76.96,63,64,15.48
2173125,Burnie,-41.07,145.92,37.94,82,0,4.0
5146062,Ashland,40.82,-82.27,82.31,66,90,13.87
3108125,Teruel,40.67,-0.67,73.76,31,49,10.29
1528998,Yumen,40.28,97.2,67.24,35,19,3.29
2026861,Berdigestyakh,62.1,126.7,64.56,70,8,3.24
5354943,Half Moon Bay,37.46,-122.43,69.03,72,5,242.71
3347019,Mossamedes,-15.2,12.15,67.69,62,0,1.81
1497210,Novoagansk,61.94,76.66,52.79,74,23,6.04
493463,Shumerlya,55.5,46.41,56.01,94,0,3.2
104515,Makkah al Mukarramah,21.43,39.83,86.11,23,0,4.07
3424607,Tasiilaq,65.61,-37.64,48.2,66,100,13.87
3994667,Nueva Rosita,27.95,-101.22,97.0,38,40,10.0
1855612,Nara,34.69,135.8,70.99,83,75,3.91
6165406,Thompson,55.74,-97.86,60.8,82,75,13.87
1649150,Bengkulu,-3.8,102.27,76.75,87,79,4.25
2084442,Vanimo,-2.67,141.3,77.94,84,57,1.88
934649,Cap Malheureux,-19.98,57.61,66.99,80,4,3.0
780687,Berlevåg,70.86,29.09,53.6,100,100,2.24
1566346,Thai Binh,20.45,106.33,86.0,84,20,9.17
1586443,Ca Mau,9.18,105.15,77.49,90,76,2.06
2294915,Takoradze,4.88,-1.76,74.93,85,86,7.61
3093524,Leszno,51.84,16.57,56.97,80,93,6.82
1223738,Weligama,5.97,80.42,78.21,90,100,5.53
2136825,Isangel,-19.55,169.27,66.2,93,10,4.7
2192362,Christchurch,-43.53,172.63,37.17,100,99,5.19
3374083,Bathsheba,13.22,-59.52,86.0,66,40,14.99
1805987,Jiaozuo,35.24,113.23,74.61,67,96,3.24
510911,Pervomayskiy,53.25,40.29,55.9,87,99,7.63
2803476,Zwönitz,50.63,12.8,53.15,80,31,11.01
5882953,Aklavik,68.22,-135.01,60.8,67,75,6.93
3628473,San Cristobal,7.77,-72.22,91.4,46,40,4.7
2902768,Hof,50.32,11.92,55.65,75,72,4.61
5122534,Jamestown,42.1,-79.24,77.56,88,90,8.05
2644605,Lerwick,60.15,-1.15,55.4,100,100,14.99
2074865,Carnarvon,-24.87,113.63,62.6,100,75,10.29
2246451,Saint-Louis,16.33,-15.0,95.67,34,100,10.31
2122090,Pevek,69.7,170.31,39.0,99,100,5.75
264416,Astakós,38.54,21.08,75.34,88,20,9.17
3893726,Constitución,-35.33,-72.42,54.61,80,100,9.91
1271984,Ettaiyapuram,9.14,77.99,82.63,62,100,17.78
546105,Nikolskoye,59.7,30.79,58.53,67,75,8.95
1295765,Sittwe,20.15,92.9,82.56,82,100,4.34
4020109,Atuona,-9.8,-139.03,79.99,76,0,20.62
1490256,Talnakh,69.49,88.4,48.2,93,40,13.42
5282297,Bethel,41.37,-73.41,74.73,60,90,9.17
1242110,Kalmunai,7.42,81.82,81.46,72,100,1.95
1651103,Atambua,-9.11,124.89,69.46,89,24,4.23
1048364,Chokwé,-24.53,32.98,56.07,83,0,5.23
3393115,Paracuru,-3.41,-39.03,80.01,70,0,15.99
