City ID,City,Country,Date/Time,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
5122534,Jamestown,US,1595260173,42.1,-79.24,79.0,64,75,10.29
1056899,Sambava,MG,1595260010,-14.27,50.17,71.89,73,1,17.63
3874787,Punta Arenas,CL,1595260116,-53.15,-70.92,32.0,91,75,4.7
4505215,Amberley,US,1595260572,39.2,-84.43,87.01,65,1,3.36
1503796,Khandagayty,RU,1595260572,50.73,92.05,64.71,63,35,3.04
3443061,Chui,UY,1595260173,-33.7,-53.46,71.56,74,90,8.86
4030556,Rikitea,PF,1595260174,-23.12,-134.97,68.2,59,87,12.93
1639304,Kualakapuas,ID,1595260572,-3.01,114.39,77.0,88,23,3.36
2122605,Okhotsk,RU,1595260573,59.38,143.3,55.98,90,99,2.44
3369157,Cape Town,ZA,1595259924,-33.93,18.42,66.99,55,0,5.82
5855927,Hilo,US,1595260176,19.73,-155.09,75.2,78,90,5.82
5338122,Clovis,US,1595260512,36.83,-119.7,75.99,43,1,5.82
5563839,Fortuna,US,1595260183,40.6,-124.16,55.99,100,90,2.73
2077895,Alice Springs,AU,1595260013,-23.7,133.88,55.4,54,90,8.05
3836992,San Martín,AR,1595260573,-33.08,-68.47,53.6,54,40,5.82
4034551,Faanui,PF,1595260188,-16.48,-151.75,77.07,85,43,23.51
1497210,Novoagansk,RU,1595260574,61.94,76.66,58.89,63,31,12.95
3833367,Ushuaia,AR,1595259979,-54.8,-68.3,26.6,92,20,1.19
3430863,Mar del Plata,AR,1595260115,-38.0,-57.56,53.6,100,90,12.75
3831208,Qaanaaq,GL,1595260173,77.48,-69.36,46.62,77,97,0.54
5880054,Barrow,US,1595259909,71.29,-156.79,35.6,96,90,11.41
321426,Bergama,TR,1595260574,39.12,27.18,89.6,55,4,13.87
4035715,Avarua,CK,1595260174,-21.21,-159.78,75.2,73,100,24.16
57000,Hobyo,SO,1595260204,5.35,48.53,79.09,67,78,29.24
5946820,Edson,CA,1595260376,53.58,-116.44,59.0,72,1,4.7
2206939,Bluff,NZ,1595260187,-46.6,168.33,39.0,83,100,3.0
2013279,Vostok,RU,1595260244,46.49,135.88,59.18,100,100,3.89
3936456,Lima,PE,1595260463,-12.04,-77.03,62.6,72,90,3.36
5847411,Kahului,US,1595260575,20.89,-156.47,78.8,65,1,11.41
1636806,Majene,ID,1595260576,-3.54,118.97,77.07,86,90,9.48
2024626,Dzhebariki-Khaya,RU,1595260576,62.22,135.8,66.54,73,80,4.61
1015776,Bredasdorp,ZA,1595260184,-34.53,20.04,62.6,77,0,6.93
6089245,Norman Wells,CA,1595260196,65.28,-126.83,55.4,93,90,3.36
1842966,Gijang,KR,1595260576,35.24,129.21,75.2,83,75,5.82
3421765,Nanortalik,GL,1595259996,60.14,-45.24,50.27,67,52,3.89
986717,Kruisfontein,ZA,1595260227,-34.0,24.73,56.14,93,0,3.96
1065158,Farafangana,MG,1595260576,-22.82,47.83,66.63,64,74,4.94
2163355,Hobart,AU,1595259939,-42.88,147.33,46.0,75,90,9.17
1819729,Hong Kong,HK,1595260206,22.29,114.16,86.0,83,99,3.0
1791779,Wanning,CN,1595260577,18.8,110.4,81.39,85,100,6.78
4020109,Atuona,PF,1595260181,-9.8,-139.03,79.59,77,17,17.38
2155415,New Norfolk,AU,1595259962,-42.78,147.06,46.0,89,96,2.46
2409215,Mattru,SL,1595260577,7.62,-11.83,77.41,91,100,8.28
3883457,Lebu,CL,1595259926,-37.62,-73.65,52.93,86,100,10.29
1106643,Quatre Cocos,MU,1595260244,-20.21,57.76,70.0,56,75,11.41
921786,Mitsamiouli,KM,1595260578,-11.38,43.28,78.8,65,75,10.29
2449893,Tessalit,ML,1595260578,20.2,1.01,108.03,12,12,10.49
3366880,Hermanus,ZA,1595260197,-34.42,19.23,60.01,75,0,1.99
1082243,Ambilobe,MG,1595260578,-13.2,49.05,69.8,69,49,3.15
1262067,Nalgonda,IN,1595260579,17.05,79.27,85.57,67,100,6.67
2112309,Katsuura,JP,1595260198,35.13,140.3,75.99,88,75,9.17
5166009,Painesville,US,1595260357,41.72,-81.25,82.0,69,75,10.29
1507390,Dikson,RU,1595260187,73.51,80.55,42.31,90,48,11.86
1637001,Biak,ID,1595260190,-0.91,122.88,76.42,83,26,5.17
6050066,La Ronge,CA,1595260191,55.1,-105.28,64.4,82,75,5.82
3372472,Vila Franca do Campo,PT,1595259957,37.72,-25.43,73.4,60,75,9.17
7671223,Kloulklubed,PW,1595260561,7.04,134.26,75.2,94,75,1.81
1529484,Kumul,CN,1595260182,42.8,93.45,91.63,16,99,11.92
6255012,Flinders,AU,1595260174,-34.58,150.86,51.01,62,0,1.99
5106841,Albany,US,1595259929,42.6,-73.97,87.01,50,74,10.16
2520645,Cabra,ES,1595260580,37.47,-4.44,105.01,18,0,1.99
2075265,Busselton,AU,1595260181,-33.65,115.33,48.99,63,100,11.36
1282256,Hithadhoo,MV,1595259929,-0.6,73.08,84.22,79,100,15.14
3893629,Coquimbo,CL,1595260173,-29.95,-71.34,60.8,63,65,2.24
1855540,Naze,JP,1595260194,28.37,129.48,80.6,94,20,3.36
2015306,Tiksi,RU,1595260212,71.69,128.87,47.21,88,100,16.28
6165406,Thompson,CA,1595260179,55.74,-97.86,73.4,49,40,3.36
2122090,Pevek,RU,1595260247,69.7,170.31,45.48,59,0,3.33
105298,Jizan,SA,1595260581,17.33,42.67,93.2,52,40,16.11
2137748,Voh,NC,1595260581,-20.97,164.7,61.21,70,26,2.8
3347019,Mossamedes,AO,1595260581,-15.2,12.15,75.54,46,0,11.63
2173911,Broken Hill,AU,1595260582,-31.95,141.43,48.2,66,5,9.17
3883167,Linares,CL,1595260582,-35.85,-71.6,50.94,94,100,6.06
723559,Snina,SK,1595260582,48.99,22.15,70.0,73,22,1.01
1006984,East London,ZA,1595259961,-33.02,27.91,68.34,42,0,2.1
3403127,Capitão Poço,BR,1595260582,-1.75,-47.06,84.42,77,72,5.64
6201424,Mataura,NZ,1595260182,-46.19,168.86,39.0,83,100,3.0
5367788,Lompoc,US,1595260188,34.64,-120.46,59.0,82,41,6.93
3471451,Arraial do Cabo,BR,1595260176,-22.97,-42.03,82.4,61,0,16.11
3354540,Omaruru,NA,1595260583,-21.43,15.93,72.57,21,0,7.72
1735106,George Town,MY,1595260180,5.41,100.34,78.8,88,40,2.24
3868210,Vilcún,CL,1595260583,-38.65,-72.23,46.0,71,100,6.17
2180815,Tuatapere,NZ,1595260183,-46.13,167.68,39.0,83,99,3.0
3466980,Caravelas,BR,1595260263,-17.71,-39.25,77.77,72,44,8.41
6180550,Whitehorse,CA,1595259933,60.72,-135.05,54.0,87,75,17.22
2126123,Chokurdakh,RU,1595260191,70.63,147.92,63.91,53,90,9.28
5848280,Kapaa,US,1595260178,22.08,-159.32,78.8,78,90,19.46
6170031,Tuktoyaktuk,CA,1595260218,69.45,-133.04,44.6,87,90,13.87
6690296,Saint-Joseph,RE,1595260584,-21.37,55.62,69.8,64,20,17.22
2412408,Nioro,GM,1595260584,13.35,-15.75,89.24,60,93,9.06
4032243,Vaini,TO,1595260188,-21.2,-175.2,71.6,78,40,11.41
2738381,Lata,PT,1595260246,40.16,-8.33,93.0,42,26,7.94
934966,Mhlume,SZ,1595260585,-26.03,31.85,68.0,42,0,4.7
3466704,Castro,BR,1595260190,-24.79,-50.01,70.41,53,0,8.57
3893656,Copiapó,CL,1595260585,-27.37,-70.33,60.8,63,66,6.93
709584,Druzhba,UA,1595260585,52.04,33.95,70.79,71,0,7.14
893485,Chiredzi,ZW,1595260585,-21.05,31.67,63.14,60,1,3.71
2122104,Petropavlovsk-Kamchatskiy,RU,1595260585,53.05,158.65,50.0,100,75,4.92
3355672,Lüderitz,NA,1595260265,-26.65,15.16,80.6,15,0,10.29
988290,Komatipoort,ZA,1595260586,-25.43,31.95,68.0,42,0,4.7
2624653,Argir,FO,1595260586,62.0,-6.77,51.8,87,75,10.29
2128975,Nemuro,JP,1595260586,43.32,145.57,60.24,93,12,4.36
2110227,Butaritari,KI,1595260186,3.07,172.79,82.76,67,99,7.29
2159220,Mackay,AU,1595260586,-21.15,149.2,53.6,93,84,3.36
3466165,Cidreira,BR,1595259989,-30.18,-50.21,74.16,65,1,3.47
1802276,Longyan,CN,1595260587,25.11,117.02,75.74,82,100,1.5
286621,Salalah,OM,1595260262,17.02,54.09,80.6,94,75,9.17
3421719,Narsaq,GL,1595260209,60.92,-46.05,66.2,39,20,3.36
64814,Bandarbeyla,SO,1595259998,9.49,50.81,82.44,55,99,20.92
964432,Port Alfred,ZA,1595259958,-33.59,26.89,61.95,57,0,5.5
2381972,Adrar,MR,1595260004,20.5,-10.07,108.63,11,13,16.75
1494091,Promyshlennaya,RU,1595260588,54.92,85.64,71.6,78,40,4.47
3651438,Santa Elena,EC,1595260588,-2.23,-80.85,73.4,78,40,9.17
3576994,Cockburn Town,TC,1595260100,21.46,-71.14,86.0,70,40,17.22
2264557,Ponta do Sol,PT,1595259925,32.67,-17.1,73.99,60,0,1.66
2017155,Saskylakh,RU,1595260184,71.92,114.08,52.83,61,100,4.7
3652764,Puerto Ayora,EC,1595259960,-0.74,-90.35,71.6,83,75,9.17
4031574,Provideniya,RU,1595260254,64.38,-173.3,46.08,74,72,4.45
4529605,Atoka,US,1595260589,34.4,-96.02,91.4,55,1,8.05
3374333,Praia,CV,1595260589,14.92,-23.51,86.0,62,75,6.93
686090,Asău,RO,1595260183,46.43,26.4,70.0,83,75,14.99
1490256,Talnakh,RU,1595260248,69.49,88.4,51.8,100,40,4.47
475955,Velizh,RU,1595260589,55.61,31.2,68.54,82,99,4.38
5380437,Pacific Grove,US,1595260534,36.62,-121.92,59.0,82,90,3.36
3382160,Cayenne,GF,1595259932,4.93,-52.33,82.4,74,79,8.05
1855342,Nishihara,JP,1595260590,26.18,127.76,84.2,88,20,8.05
1489822,Tegul'det,RU,1595260590,57.31,88.17,62.38,93,28,1.79
6111862,Port Hardy,CA,1595259923,50.7,-127.42,57.2,93,75,3.36
